name,ring,quadrant,isNew,description
Nexus Repository,Adopt,tools,FALSE,"<a href=""https://www.sonatype.com/nexus-repository-sonatype"">Nexus</a> organise store and distribute software components"
Kafka Streams,Trial,languages & frameworks,FALSE,To consider as a part of the digital marketing platform in providing near realtime drops of key data from an online cache to the data warehouses
DevOps,Adopt,techniques,FALSE,
MongoDB,Adopt,platforms,TRUE,"<p>Currently we have a large MongoDB implementation in Production and all of the Test environments in CCP. It is owned and managed by MCSO. It is also supported 24x7.&nbsp;</p><strong>Recommended Courses</strong><p>Various training courses can be signed up for in the <a href=""http://university.mongodb.com/training/register?key=elxpfgg67y"">MongoDB University</a>&nbsp;Requires you to have a valid BT email address.</p><strong>Recommended Reading</strong><p><a href=""https://www.amazon.co.uk/Mastering-MongoDB-4-x-high-fault-tolerant/dp/1789617871/ref=sr_1_1?keywords=mongodb&amp;qid=1565080257&amp;s=gateway&amp;sr=8-1"">Mastering MongoDB 4.x</a></p>"
Virtual Box,Hold,tools,TRUE,"<a href=""https://www.virtualbox.org/"">VirtualBox</a> is a powerful x86 and AMD64/Intel64 virtualization product for enterprise as well as home use. Not only is VirtualBox an extremely feature rich, high performance product for enterprise customers, it is also the only professional solution that is freely available as Open Source Software under the terms of the GNU General Public License (GPL) version 2."
TLS1.2,Adopt,platforms,FALSE,
Decoupling secret management from source code,Assess,techniques,TRUE,"In previous Radars issues we mentioned tools such as git-crypt and Blackbox that allow us to keep secrets safe inside the source code. Decoupling secret management from source code is our way to remind technologists that there are other options for storing secrets. For example, HashiCorp vault, CI servers and configuration management tools provide mechanisms for storing secrets that are not linked to the source code of an application. Both approaches are viable and we recommend you use at least one of them in your projects."
Browser Stack,Adopt,techniques,FALSE,"<a href=""http://www.browserstack.com"">Browser Stack</a>Test your website for cross browser compatibility on real browsers. Instant access to multiple desktop and mobile browsers"
Agile JIRA,Adopt,tools,TRUE,
Python,Trial,languages & frameworks,FALSE,"Python is a clear and powerful object-oriented programming language, comparable to Perl, Ruby, Scheme, or Java. "
SonarQube,Adopt,tools,FALSE,"Code Quality tooling with <a href=""https://www.sonarqube.org/"">SonrCube</a>."
Selenium,Adopt,tools,FALSE,
Swagger,Adopt,tools,TRUE,"Providing interactive API documentation using the OpenAPI Specification and the <a href=""https://swagger.io/"">Swagger</a> toolset for RESTful API documentation."
Gatling,Adopt,tools,TRUE,"The <a href=""http://gatling.io/"">Gatling</a> load and performance test tool should be assessed as a tool to allow developers to quickly and simply assess the basic performance characteristics of their code ahead of more formal load/soak testing."
Reactive / event driven solutions,Adopt,techniques,TRUE,"Where appropriate, we should be moving away from wasteful ""thread per request"" architectures to more reactive architectures. These should use non-blocking IO and be stream based. This is a fast moving area but given our use of Spring, we should assess the <a href=""https://projectreactor.io/"">Reactor</a> project and Spring <a href=""http://docs.spring.io/spring/docs/5.0.0.RC2/spring-framework-reference/web.html#web-reactive"">WebFlux</a> (which uses Reactor internally)."
Functional programming techniques,Adopt,techniques,TRUE,"The rise of languages on the JVM with strong functional programming support (such as Scala and Kotlin) has, at last, driven good support for fucntional programming idioms into the Java language (as of JDK 8). We should be adopting functional programming idioms where expliclty supported by the JDK e.g. higher order functions, working with collections as streams etc as well as adopting functional idioms not directly supported by the language e.g. greatly enhanced use of immutable variables and avoiding ""side effects""."
Git,Adopt,tools,FALSE,
Jmeter,Adopt,tools,FALSE,
Spring Framework,Adopt,languages & frameworks,FALSE,
